,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Realized Sales Gross Profit Growth Rate,0.2958466274228905,-0.05102329813269125,0.007011410599333354,-0.03872797173465139,-0.018933780723218302,-0.01953901138487403,-0.027462755407890532,-0.23141511866033043,-0.20901138285755944,-0.27005507867719114,-0.3029048615277784,-0.020692151348639838,-0.10388427287167892,-0.17959019637126739,0.2046054668279256,-0.09822482862454245,-0.145915415777027,-0.145915415777027,-0.07775452478985806,-0.09837922616426646,-0.3085768912814545,-0.11465418159602704,-0.0069330704448429875,-0.08675328257101245,1.0,0.07419154861662315,0.024341445193949436,0.017098979204101247,0.07215564544431222,0.1640611009094344,-0.04657591919010279,0.013542511309322039,-0.23232183873001164,-0.09569783099529264,-0.11027393773309807,0.28015995079993616,0.2134857350089584,0.2519626120548086,-0.2519626120548085,-0.052863095788695344,0.10024576316577974,0.023581751677950083,-0.006200043917401807,-0.06685320633683899,0.06003077991029213,-0.14268379531863765,0.01336686269784332,-0.06830804562543946,-0.020434571317140934,-0.05728255629739711,-0.022149197405003176,-0.023989153606071,-0.03819271150549081,0.42577764531546647,-0.07673915195522066,-0.004046658986404745,0.027159074657472134,-0.07182327522793296,-0.10674176968533373,0.5058716171512484,0.10944271546147921,-0.15540811170311636,-0.0029682460194372005,-0.0313769116264194,-0.07411817245470403,-0.0523763827978691,0.06055620227270219,0.13181531310142588,-0.303159090229348,-0.021096302796717176,-0.03600892014868837,-0.16913628832557448,0.030504345134175378,0.2767296603610221,-0.04701319008468965,0.022954489729118288,0.029066433305192495,-0.07411817245470403,0.06055620227270219,0.14713017043982896,0.03406757466496266,-0.02344272369563078,-0.27767162120402006,-0.02038778005906359,0.19362883087930996,0.04207030055664056,0.0039050529179216953,0.1263640469867037,-0.3101723391761306,-0.01894146438669416,0.04489812688189081,0.12150292297613463,-0.04348245814023237,-0.02969853365897672,,-0.1445528654959911
 Operating Profit Growth Rate,0.037350971222111756,0.05961999945324564,0.06369304000642255,0.05702042408606384,0.06348393169611813,0.06333160931944781,0.14696495616224425,0.08548526037914422,0.08415359800930343,0.02443817713832241,0.09114286648942631,0.01812987237835887,0.08125833969217404,0.005519138089707789,-0.050721133259518644,0.04703256480515381,-0.04989614697107407,-0.04989614697107407,-0.04741259184680005,0.04200087849171026,0.0205506571689807,-0.002272891577842306,0.13674333415076334,0.04167151672983448,0.07419154861662315,1.0,0.03485578818009786,0.036275668644630395,0.10111344913690075,-0.06450374169639708,0.03594349436862765,0.08739750694075554,0.01953581137625577,-0.06444027306135079,-0.10589648809540728,0.023490782126713534,-0.002506752908205198,0.09494040157183044,-0.09494040157183013,0.11079292929628481,0.10608094637821364,0.11631654485780689,0.1373932992491217,0.04080732025266304,0.08574266476477285,-0.04081708137809456,0.07154180979550392,-0.0792223927415054,0.04382083025102539,-0.01716087254950165,-0.0013097715756308678,0.036238273111381406,0.11690401951288612,0.05081657835381426,-0.08957339117366474,-0.12454257243172862,-0.07231178856597238,-0.16150433987736576,-0.10091001305948309,0.011066284813576804,0.02881361198919642,-0.02519923799493077,0.06517967438059825,0.05135021143221795,-0.14763598660652233,-0.0974837036339838,0.09081487189704536,0.06701909085577704,0.006068494258326635,0.0728595499892039,-0.013296817540097518,0.054280738071263,-0.15139588238588414,-0.030606969696005414,-0.22431887648918541,-0.011115003672583277,-0.010322502531476993,-0.14763598660652233,0.09081487189704536,0.10286449113617568,0.01366879764282714,0.07411247282158594,0.013240249564939027,0.06207899017759728,0.08469640321562671,-0.061906774404064675,0.05208026596960287,0.07517329943062297,-0.055103941953708706,0.06347050925932274,-0.06441399833085269,0.10103696824200877,0.014958125515148517,-0.05425283993331444,,-0.11926363566130471
 After-tax Net Profit Growth Rate,-0.016691757155445196,0.17963943595611367,0.19424134834353535,0.16832599031196954,0.12768996848620096,0.12766203448142738,0.12214666535687524,0.12028875016176355,0.11397812279644158,0.08092349960911434,0.08585236514648197,-0.12493523942632527,0.07312944760551489,0.13207516159568009,0.14923648397047262,0.12459750741567109,0.20370862024547617,0.20370862024547617,0.20358975869734422,0.15735835163690726,0.1565606810234747,-0.3052245724796693,0.1523159345830711,0.19015387964260824,0.024341445193949436,0.03485578818009786,1.0,0.999908681424845,0.8205623467311883,-0.018736285788472994,0.17035307477130712,0.19636960544344673,0.16860450608937702,0.05429389842513345,0.06905539292850488,0.13484624422812436,-0.15306469760883626,-0.14626085737785016,0.14626085737785,0.02052772244321419,0.0908149992400992,0.03214837872963835,0.1519727154865516,0.19203906773600662,-0.028623098709461243,-0.39564264071439886,-0.17510332038073007,0.17405970332032372,0.08675174920343895,0.05636801866205671,-0.379638501107639,-0.05136022819557027,0.11858347202332876,0.0947195499934625,-0.03375368537675503,-0.1713370341137346,-0.2405227265930186,0.039557612104801215,0.06400064252585072,0.015418325989449509,-0.19199916458044225,0.13052628943070607,-0.006089394636067245,0.009201197038877448,-0.12415237261015573,-0.13729338674588357,0.08739804635539954,0.041354276122552894,0.1826444625235843,0.14748730050466452,-0.11793322794860873,-0.06592621596476085,0.04295330173336988,0.043390262522930566,0.06674816397945829,-0.049355074736737274,0.10153055551237314,-0.12415237261015573,0.08739804635539954,0.11546734376002367,-0.07381059465714489,-0.019542773573317476,0.17553663352305063,0.12599154103517307,-0.0215242652612772,-0.1389110916624189,0.18651951664218547,0.025599143476176235,0.0010413743379111989,0.1276922641878507,-0.12169266402514675,0.09432080657585029,0.03985263981994293,-0.008814449523109485,,0.12123834870818787
 Regular Net Profit Growth Rate,-0.018292258685352183,0.17960446202352984,0.19378564311319174,0.16825506863848508,0.12724907146967138,0.12722341529742956,0.12178096634914204,0.121915479746668,0.115481950022125,0.08313009995313192,0.08877449982143883,-0.12495677222343399,0.07565794189322052,0.13334620801761907,0.14662484574916707,0.12411783937785247,0.20631617257577825,0.20631617257577825,0.20619396120652383,0.15772986058310098,0.1585009893499987,-0.30574790537220925,0.15170710286588887,0.1899681385767893,0.017098979204101247,0.036275668644630395,0.999908681424845,1.0,0.8203850659501276,-0.019863357396616564,0.17011819302629416,0.196457221269793,0.16991165087618537,0.05502317798124743,0.06946724074522735,0.1292523004561486,-0.15489996366730693,-0.14905499143857442,0.14905499143857429,0.02699848217204585,0.08900025623896628,0.03221340763087962,0.15136228265142762,0.19184815685151546,-0.029808526262607722,-0.39593457905663143,-0.17535346891158096,0.174497677346628,0.08846550209843564,0.055035544464583176,-0.3805893937942575,-0.05124151755089094,0.11807753263075232,0.09404575290176848,-0.03234310207708582,-0.17212438409383268,-0.24106403431184925,0.03907680122017404,0.06447834831988204,0.015710421181160436,-0.19405091641555755,0.13164133606601366,-0.0057210415240908094,0.010278405739412822,-0.12456651551944099,-0.13497787859533023,0.08597417702114299,0.040819199766948394,0.18648794566462318,0.14842967199590926,-0.11804215434809023,-0.06531464507863649,0.041272339418422,0.045640935926438315,0.06712559179575113,-0.04820640661950174,0.09803374027034442,-0.12456651551944099,0.08597417702114299,0.11378827647387173,-0.07319567669882814,-0.0191778563715016,0.1774453872606542,0.1261826931740792,-0.024438027095245715,-0.13885248554306137,0.18624984207024164,0.026115984236353827,0.002783688828853241,0.12725152467463266,-0.12170376167403871,0.09257510649566368,0.040198673302248675,-0.009081748811397292,,0.12362734788239954
 Continuous Net Profit Growth Rate,-0.1295161131027471,0.5127233153685269,0.5002879692580021,0.5176415048533524,0.1255463166900507,0.1252960144506007,0.2342760216914459,0.24213943615477881,0.24017966778761812,0.16932316269668032,0.26023779226917654,-0.06669324979736786,0.09763389362628565,0.1737401875974242,0.15014176834209436,0.12729988543448736,0.32305019095647425,0.32305019095647425,0.32031441078654077,0.45589897206337365,0.2646319586245465,-0.2444730682884083,0.3202121924395826,0.428266079318859,0.07215564544431222,0.10111344913690075,0.8205623467311883,0.8203850659501276,1.0,-0.07977109506070196,0.44400960500723674,0.5499617296367567,0.4230002616779564,0.07346742322954654,0.08297915758583146,0.13331789126698798,-0.46349322691875233,-0.24381991670030667,0.24381991670030653,0.08171128128278503,0.4450451425098097,0.15668896839601265,0.3181936620261854,0.4234737959657311,0.3368653459899329,-0.3543585903102543,-0.10813708464714307,0.08667572306887183,0.10541960095955685,0.06088550518016752,-0.495082371228607,-0.08257205473071463,0.26601650915771996,0.08080078832687555,0.05257993108666565,-0.22856808686889932,-0.2525854678972648,-0.10162650107514651,0.072632386816272,0.015531667245696159,-0.29753641072925957,0.17016264649925972,0.09214465994403385,0.047317614882568776,-0.12189678432803851,-0.3565879418495125,0.4547659637275884,0.02893864783562407,0.3282450216043829,0.2356497648675554,-0.35027058081704726,-0.09099986357812818,-0.023804968162866435,0.044387326615767934,-0.02876105590420712,-0.09877329001119586,0.12996340171151077,-0.12189678432803851,0.4547659637275884,0.45275878382562446,-0.23742561187596214,-0.06728736494327307,0.30147435164028585,0.5033607757867491,-0.0456308091454795,-0.5307201984705827,0.4764167877129583,0.01291018221841674,-0.0016829642919684801,0.1255570179811188,-0.513726007638133,0.46928289042839494,0.04812311189758363,-0.02109362765119224,,0.14541218756660726
 Total Asset Growth Rate,-0.1467898600629783,0.11774950569838072,0.08838145552412283,0.09135007962611952,0.038925954909768266,0.03840508192113162,0.14906859009937945,0.13979001539218897,0.12457129717314284,0.09007598514385987,0.10732458927396216,-0.049891772786522286,-0.056566864168005625,0.03234109088703237,-0.0872621618106402,0.31493839706803,0.26249919228998736,0.26249919228998736,0.254996145690467,0.14223048137366265,0.005115520240210759,0.028218840701502122,0.14251248159431495,0.1621654002309288,0.1640611009094344,-0.06450374169639708,-0.018736285788472994,-0.019863357396616564,-0.07977109506070196,1.0,0.0652856036988486,-0.05236260278676015,-0.049857321101137955,0.19802227589765536,0.20268585062389818,0.052897062776774396,-0.05040229020403697,-0.20347246123912402,0.20347246123912446,0.0983749048436042,-0.17185126940010811,-0.3623540162132501,0.1430455879873336,0.17561735033138404,-0.06987341442624884,0.05772539375780219,-0.20639902369674717,0.19975021468639356,0.04847498435401542,-0.05855374019298865,-0.044413975646142446,-0.025042061629168985,0.08691748106136844,-0.003039807025598015,0.28569639271906705,0.2602752326836338,0.25003830951916695,0.25870878342036285,0.20029575095511953,0.08068016466604931,-0.07345093529607198,0.08874141327688302,-0.12241698194831291,0.11630656092538115,0.177641472801668,0.28124554478439046,-0.152975067757024,-0.2660811475884897,0.21458825821473457,0.16908742725398754,-0.0559790356343746,-0.16963234169447386,-0.07472345871080258,0.19886784476127156,0.14208342001049973,0.12159307635442569,-0.07642059794906532,0.177641472801668,-0.152975067757024,-0.1649109354733774,0.20181289194236385,0.1480846677597997,0.004457067960778618,-0.015295583960530344,-0.2504667442848347,0.07792560396574276,0.1206256791247092,-0.2396911379884897,0.034382868511281604,0.03894876282289209,0.12660536197704017,-0.17526979986478927,-0.13579652973131176,0.01324992548845377,,0.21018089522126665
 Net Value Growth Rate,-0.6200356870336191,0.9323726174818611,0.9476490518992479,0.9394281748131948,0.2553288196869993,0.25500858387726655,0.5835043531724134,0.7080403534220904,0.7148728583138396,0.5510437086814999,0.6553565213757798,0.04688860673693596,0.15017338049272103,0.3548345678515325,0.00641257235628851,0.3229566471487013,0.751591874903638,0.751591874903638,0.7329687357031317,0.9368340361588002,0.49130383308782216,-0.047463107895032414,0.6527224651545388,0.9330540717821806,-0.04657591919010279,0.03594349436862765,0.17035307477130712,0.17011819302629416,0.44400960500723674,0.0652856036988486,1.0,0.7996168623793852,0.7001430456792656,0.34090653151189176,0.30972674042120873,0.0926647445692428,-0.8373096767389846,-0.6279901651611317,0.6279901651611317,0.2129469735332327,0.4648292190480837,0.10347009070431949,0.6525874118774044,0.9328858219882995,0.4958584210992348,-0.09883654535662152,-0.08791427615118044,0.15104403978909084,0.10342028620670295,-0.05600821841148291,-0.49790119209028166,-0.07864055021332861,0.6127213113985434,-0.09960944930197223,0.46711074341072134,-0.11271533282466241,-0.07351058897768456,-0.0872428311346912,0.2989178022430659,-0.10638957339311982,-0.5788546398823786,0.3421429932898818,0.054291169839894335,0.3147758113456228,-0.10364475078102067,-0.14293780161592273,0.49299291711787196,-0.047920431454930024,0.784327892270204,0.6452672395167932,-0.5944774726616368,-0.1123313303614973,-0.06368019400866508,0.16239891316963953,-0.08726556402921064,-0.009915485897279138,0.07516729148322113,-0.10364475078102067,0.49299291711787196,0.5247995223538678,-0.16663594453179678,0.026314084906352543,0.5177362630890717,0.7687549556015875,-0.4857969085083968,-0.7368062071398415,0.9550067707398656,-0.0353486441962451,0.2356678971024363,0.25533160483544687,-0.6293099793101008,0.47746258826208265,0.029503688145435726,0.024491203188804003,,0.3869377602150459
 Total Asset Return Growth Rate Ratio,-0.2639961838718815,0.8140783655895741,0.8731695424864808,0.847848117965708,0.1125706186017693,0.11260768068737795,0.30419908801364975,0.40965204131459315,0.42511976293064485,0.3372955146624727,0.37864111010902163,0.050345972038945246,0.06110502046369023,0.13591309754918285,0.08947623052553606,0.07496020775782905,0.49453065764344867,0.49453065764344867,0.49060928633749484,0.7548365293992222,0.24938918435416987,-0.11167580629076983,0.39994711622494455,0.7435333082476953,0.013542511309322039,0.08739750694075554,0.19636960544344673,0.196457221269793,0.5499617296367567,-0.05236260278676015,0.7996168623793852,1.0,0.5925374440014465,0.09878516058702863,0.07944093032665019,0.09379598037858451,-0.8207638569621457,-0.38743006298702415,0.38743006298702387,0.12481964630361272,0.7785269444354938,0.26949988081962234,0.39542753412722415,0.7358352547208263,0.7368683051041739,-0.2081491537461711,-0.06353261635893286,0.07716312899280742,0.05737533429561604,0.00875449226090772,-0.553864599874812,-0.07647150748057749,0.3580076055598138,0.05731151947457019,0.18828928705463616,-0.24005927499123686,-0.17630918563186554,-0.30552323307546636,0.06875059172105241,0.03102138282232346,-0.37284600824508884,0.13649233589312526,0.1034605224417479,0.1358187535146604,-0.05544888394250494,-0.5132108975256463,0.8107063597336898,-0.017978622131984933,0.5959730943425392,0.3247917019599494,-0.6484417404887615,-0.06348315250086221,-0.05632479062106851,0.09536915145691235,-0.1861489136345686,-0.13910593804849167,0.07831369256021951,-0.05544888394250494,0.8107063597336898,0.7214102491009581,-0.40106766833842034,-0.13551766118550862,0.2928420722516637,0.8873973189352881,-0.14809948354741168,-0.9228450469060133,0.8422133171433362,0.006650549995196401,0.022538709556623498,0.1125887058073505,-0.8802940798394041,0.8027115072939103,0.15644482440704088,-0.03680017442822729,,0.16394135453628234
 Cash Reinvestment %,-0.5165464791024688,0.747923647293078,0.6981500658801532,0.7420536865003535,0.18141773470672704,0.18158241038277015,0.44765169648335024,0.3839814029324804,0.3716394095329758,0.2264798250129711,0.39389291912837693,0.013075261236262303,0.12437033024825868,0.5179267546988613,0.05156351942546189,0.3450117134040348,0.5040128471177199,0.5040128471177199,0.48803834003575436,0.7083670336372176,0.8430010060182339,0.029376593577611125,0.6148401078962056,0.6892160845388575,-0.23232183873001164,0.01953581137625577,0.16860450608937702,0.16991165087618537,0.4230002616779564,-0.049857321101137955,0.7001430456792656,0.5925374440014465,1.0,0.2543823787136896,0.2141185260627935,0.03608933868426854,-0.6821900124242806,-0.4760215099367528,0.4760215099367521,-0.08639348127819958,0.4073222128042321,0.05836978315258905,0.6146776154299519,0.6833242382596035,0.40710883885342575,-0.015492449111133224,0.01395481320294819,0.04261228880876233,0.11954339799304628,-0.016727847567314873,-0.3737797212151945,-0.020971965870659103,0.5221332471324311,-0.04881636235886897,0.32356082490029286,-0.2092437329564729,-0.1328862106275992,-0.07803524275448687,0.19540687726746234,-0.12416699453729739,-0.47892726424961446,0.5682514223445166,0.0076566810684594155,0.3038861075217106,-0.08724145590806681,-0.19534946854179064,0.414945621170183,-0.05494039982597321,0.554953268303902,0.3418590969966397,-0.4102335672629488,0.11237429991312202,0.04490916473731061,0.04379944761729856,-0.03453990532938675,0.016458451023774273,0.35354991938898905,-0.08724145590806681,0.414945621170183,0.49036703129294384,-0.150914088381159,0.047234901155826604,0.8681605001512797,0.6412719541251635,-0.2971993326385498,-0.6183775164768939,0.6851448731663313,-0.13423103018427113,0.10924305919444506,0.18142225578389903,-0.5584943528762933,0.4191609841241773,-0.004530085300374496,0.010398426072828941,,0.2892522895797051
 Current Ratio,-0.36835430861092433,0.3039173246129244,0.2663473838453242,0.28799660658854176,0.06209074485796741,0.06175669097138773,0.3045504626352851,0.2710601083139141,0.24940540581537907,0.16613892075620046,0.2379054480943837,-0.0031173031094484187,0.11317084244831117,0.694303454476308,-0.15336737485391927,0.3532128145875199,0.5084005122731613,0.5084005122731613,0.505927384023569,0.33095803265867413,0.2762573231977136,-0.051159861265999224,0.23035008673430263,0.33126679040569434,-0.09569783099529264,-0.06444027306135079,0.05429389842513345,0.05502317798124743,0.07346742322954654,0.19802227589765536,0.34090653151189176,0.09878516058702863,0.2543823787136896,1.0,0.9469846269970579,-0.12459889358786898,-0.37717576738480707,-0.6476946210730092,0.6476946210730098,0.14365254751988685,-0.22336909994570764,-0.23010127332030697,0.23119660368552686,0.3409214659400378,-0.037044827488741335,0.09090662145532036,-0.12578649343256448,0.143276144023849,0.03158556362495602,0.032188504526208056,-0.2107910435392696,-0.04941504793373959,0.2673477283395487,-0.08519630560905117,0.8220826612977078,0.30720687843710165,0.3169593564533502,0.378525052735058,0.9600570613569922,0.031594463744986395,-0.594211188278208,0.5413040388821357,-0.1453191770181885,0.715612295275404,-0.17464662051916374,0.47514291142062826,-0.15735568993174906,-0.33793531192058585,0.4171517903862483,0.3636905419592057,-0.19047005955792287,-0.21762655716298157,-0.1105542257137616,0.48979380914677634,0.19019575167674366,0.15244699920019383,-0.14469594982472528,-0.17464662051916374,-0.15735568993174906,-0.17095205000311292,0.251331580653974,0.36372083706123065,0.3693596617336104,0.1910155050562708,-0.8073812048429923,-0.10001721342539874,0.32040443874626284,-0.19281433357762323,0.459178903875951,0.06206844271772522,-0.04200605107340332,-0.1718056587030128,-0.12221827924445801,0.10361551274264727,,0.6606258737687366
 Quick Ratio,-0.35598950924649425,0.2602536259360005,0.22462636314110435,0.24698398545001365,0.08453031453411616,0.08436811275375514,0.28552479835730465,0.26962943157879665,0.2504911478487332,0.17484841035767731,0.24784752139762126,-0.024339175833238347,0.11977428899106561,0.6494752152311729,-0.17067261313937254,0.34358794949879207,0.4827087543863638,0.4827087543863638,0.4712699059386637,0.3012543033179244,0.23722752796262328,-0.07734904832801497,0.19622210591706193,0.2988489242132455,-0.11027393773309807,-0.10589648809540728,0.06905539292850488,0.06946724074522735,0.08297915758583146,0.20268585062389818,0.30972674042120873,0.07944093032665019,0.2141185260627935,0.9469846269970579,1.0,-0.11019465533253262,-0.33413877096570055,-0.6002722371238417,0.600272237123842,0.09687029596032225,-0.22492967510876216,-0.26594513888851784,0.19612333534343723,0.3052744202377134,-0.07655306996406017,0.04640027651840172,-0.17082779090055716,0.16912083233012845,-0.06247471112278354,0.10820200378776067,-0.21060369170494952,-0.09827944016057089,0.21889910350771724,-0.12782189173934377,0.7357414416155766,0.35854944367845254,0.27587308926620097,0.4658168878395124,0.9928935786670586,-0.029893205582826574,-0.5392187499386524,0.4534006966224013,-0.1626261127201313,0.46864274833808334,-0.1400651957967851,0.42111944462781614,-0.1541870852609326,-0.35591869208770033,0.37920214385744005,0.30265181768210825,-0.17538030358312107,-0.21961779215341853,-0.16107239599224046,0.3979294417892015,0.21127433424232728,0.12555443423638363,-0.11544890793311967,-0.1400651957967851,-0.1541870852609326,-0.20134749173858119,0.24665223248603685,0.35455130426084447,0.3046518126775136,0.16266142712021775,-0.7293904984800549,-0.0777572414962698,0.2775185599442025,-0.18907370822775516,0.43146501652699787,0.08451306455978781,-0.023656811939823243,-0.170300708615328,-0.10362376400664114,0.08540823405703868,,0.6309784537028874
 Interest Expense Ratio,0.13133731391784412,0.08011143878880515,0.12366637279909976,0.07632290903362665,-0.07104940646793116,-0.0711282851321299,-0.020314224225054342,0.13063568980161064,0.1386078364698077,0.1722418947168708,0.07287034964273327,-0.12338434716470552,0.03397656650694684,-0.0811093446179066,0.21496505057380189,0.07016655086280503,-0.04861215741401257,-0.04861215741401257,-0.05685220633403424,0.07017172555200171,-0.0010623054483520171,0.031078512828314576,0.05230324173924231,0.11766196429641237,0.28015995079993616,0.023490782126713534,0.13484624422812436,0.1292523004561486,0.13331789126698798,0.052897062776774396,0.0926647445692428,0.09379598037858451,0.03608933868426854,-0.12459889358786898,-0.11019465533253262,1.0,0.10321526692061683,0.14756533079728032,-0.14756533079728065,-0.11946505743152881,0.16424898334583685,0.017806480841533728,0.05399154882057258,0.11901025504049433,0.11981845686400022,-0.03907525571322192,-0.05057441386029798,0.0011394007936542624,-0.2324295426866444,-0.05564733657177681,0.05800650975785369,0.002799474671438443,0.035534700468183626,-0.025793001849725314,-0.20096356109375016,-0.028837422451169607,-0.041221109067666316,0.0018409013483148154,-0.11881001009097798,-0.06051313739045313,0.17974947325473936,-0.04527889592701648,0.03363692266551311,-0.09119537918780192,0.09191259210714176,-0.26513931492640236,0.15074211347569416,-0.07567308469668398,-0.16735772036246163,0.10617104314780197,-0.08915336703782037,0.16383032978253037,-0.02219815089405968,-0.16100629133834055,-0.034124980914918494,-0.012465587435418278,0.18192451822449954,0.09191259210714176,0.15074211347569416,0.07021173508531131,-0.03574467535720979,-0.04250756959698123,-0.03206224795901241,0.033482597541879044,0.21397564431025407,-0.031361799238592045,0.10326832856444082,-0.03146408955207687,-0.006191364880198705,-0.07106603882698388,-0.00823698112240155,0.1450037769973956,0.169605668630494,0.5452175595896913,,-0.09979628037610587
 Total debt/Total net worth,0.5217693694316622,-0.847679398961379,-0.8662411228493642,-0.8711855998615661,-0.15635828569509722,-0.1561357087096721,-0.37049066650954443,-0.5375754074744822,-0.5403684580987277,-0.45835155242751896,-0.5087620484321244,-0.04925038748539133,-0.16079824777296406,-0.3575408667723611,0.05666602870695735,-0.21967957290710377,-0.7086804544991234,-0.7086804544991234,-0.6899300875935142,-0.8320889640724932,-0.4219424364057965,0.14683351546561607,-0.44517610627362225,-0.8127669607965289,0.2134857350089584,-0.002506752908205198,-0.15306469760883626,-0.15489996366730693,-0.46349322691875233,-0.05040229020403697,-0.8373096767389846,-0.8207638569621457,-0.6821900124242806,-0.37717576738480707,-0.33413877096570055,0.10321526692061683,1.0,0.7623343282259897,-0.7623343282259893,-0.3005790950164223,-0.5169741845424197,-0.09128710818684634,-0.4400729571248979,-0.8034886985751634,-0.5283955994713433,0.12804141666968813,0.03767843179113795,-0.07777749407290609,-0.13145756278360446,-0.06599358115265185,0.6522158827090371,0.1075123264227403,-0.4435191199575227,0.08991052544828679,-0.5062786491395909,0.2182229536196692,0.15693616767915533,0.18643104515547457,-0.32854030359812925,0.08399439713908534,0.7008804111793508,-0.33665626180968206,-0.06577578583403329,-0.35371481904039215,0.11413707192234031,0.19791936837690047,-0.5621912505418782,0.03816961282984712,-0.8002961905549411,-0.43641010588381096,0.6276414241370672,0.16380455195102664,0.10398113009223027,-0.18751034748701012,0.06111716778128875,0.06628075313799887,-0.0016541422493272357,0.11413707192234031,-0.5621912505418782,-0.5645925130545568,0.264418123786161,0.009623890728235232,-0.4881557688299926,-0.8736834674973155,0.4785042810935538,0.8643852392034905,-0.8663317113265618,0.026278676406558246,-0.22947080042502768,-0.15636746203260785,0.8048031118038884,-0.5442363480654313,0.05947091058500951,0.0011877732714385724,,-0.4772372436650543
 Debt ratio %,0.5667533212020588,-0.5984106257355721,-0.5802909234785943,-0.5944146736534829,-0.1814550447245451,-0.18096147836420615,-0.38677781420434876,-0.635659804675025,-0.6238225206145442,-0.5702200500756252,-0.5860856511735402,0.012732302154943139,-0.23350934919272426,-0.5420140544942416,0.11439582488963092,-0.2859305096512761,-0.7166314276931633,-0.7166314276931633,-0.6893170274642366,-0.6427007749820223,-0.4254520107253662,0.23430272587570108,-0.3205552408034273,-0.6479124302357538,0.2519626120548086,0.09494040157183044,-0.14626085737785016,-0.14905499143857442,-0.24381991670030667,-0.20347246123912402,-0.6279901651611317,-0.38743006298702415,-0.4760215099367528,-0.6476946210730092,-0.6002722371238417,0.14756533079728032,0.7623343282259897,1.0,-1.0000000000000004,-0.44242753446645894,0.08139092365360182,0.20909094267735098,-0.31799797060554763,-0.648299724053439,0.0038971331358595793,0.06169036765466463,0.1169396302723734,-0.14411001651040145,-0.169622681430423,-0.07294900016854156,0.5305285980598209,0.11447305335877445,-0.367707742251651,0.2137376862246489,-0.69163939801204,0.060276177217496646,0.056699764897688555,-0.13878538206813817,-0.6017831803813375,0.15458256841422946,0.8074971875804196,-0.5455617281662735,-0.0012513375091572573,-0.5135266246547195,0.013299229718372182,-0.2519558669990716,0.009799431166383562,0.17442022288544948,-0.7313250541508206,-0.5821575094180093,0.3711088053042148,0.21455913312380678,0.10619981317260527,-0.28098884887084374,-0.1811207105211269,-0.08908303642382849,0.13019026232256395,0.013299229718372182,0.009799431166383562,0.004238216010176543,-0.07498558004740351,-0.1815765490116754,-0.5123940082478475,-0.45822842555184096,0.7154645126444977,0.37690400789586903,-0.630388122518442,0.11594099197107458,-0.3956851407170577,-0.18145018006123037,0.29043631512427753,0.05568194943182659,0.1558522330812015,-0.0528755163170102,,-0.8596755862430441
